Product ID,Date,Store ID,Sales Quantity,Price,Promotions,Seasonality Factors,External Factors,Demand Trend,Customer Segments,Forecasted Demand
4277,2024-01-03,48,330,24.38,No,Festival,Competitor Pricing,Increasing,Regular,246.6721072650608
5540,2024-04-29,10,334,74.98,Yes,Holiday,Weather,Stable,Premium,251.3595273705131
5406,2024-01-11,67,429,24.83,Yes,Holiday,Economic Indicator,Decreasing,Premium,259.0924094377631
5617,2024-04-04,17,298,13.41,No,,Economic Indicator,Stable,Regular,246.6521008583108
3480,2024-12-14,33,344,94.96,Yes,Festival,Weather,Increasing,Regular,246.57872627762126
7315,2024-11-25,9,336,59.54,Yes,Festival,,Stable,Premium,247.31261288573913
2902,2024-11-13,58,475,35.61,No,,,Increasing,Budget,240.39027239244976
6892,2024-01-04,19,491,55.03,Yes,Festival,,Stable,Regular,249.9779998673717
4497,2024-10-25,33,388,33.53,No,,Economic Indicator,Increasing,Premium,243.4012835662993
8079,2024-10-22,26,475,83.65,No,Holiday,,Decreasing,Budget,244.0657879788862
3900,2024-05-13,36,434,31.01,Yes,,Economic Indicator,Increasing,Regular,250.61233286718723
6894,2024-04-01,78,29,27.17,Yes,Festival,Economic Indicator,Increasing,Budget,249.10771416081002
7767,2024-07-06,44,397,15.8,Yes,Festival,Competitor Pricing,Stable,Budget,248.508730693118
9582,2024-06-30,67,71,79.15,No,Holiday,Weather,Decreasing,Regular,253.9718627125017
9817,2024-05-10,2,467,52.82,Yes,Holiday,Weather,Increasing,Budget,248.2830008972482
3845,2024-02-27,79,299,65.58,No,Holiday,Competitor Pricing,Stable,Regular,252.92525029774333
1206,2024-03-09,82,322,36.76,No,Holiday,Competitor Pricing,Increasing,Premium,250.99855687943116
6606,2024-05-06,87,95,92.94,Yes,Festival,Weather,Decreasing,Premium,251.76625086996933
2197,2024-12-24,59,438,84.65,No,Festival,Competitor Pricing,Stable,Budget,238.50295782217992
5705,2024-08-16,80,416,15.72,No,,Weather,Increasing,Budget,244.28945006253502
4540,2024-08-12,78,494,86.78,Yes,Holiday,Competitor Pricing,Decreasing,Regular,257.73820291814366
4784,2024-11-25,51,498,80.55,No,,Weather,Stable,Premium,243.27569431800956
3265,2024-01-03,12,158,31.6,Yes,,Weather,Increasing,Budget,242.66841799778464
4085,2024-12-28,85,494,34.55,No,,Competitor Pricing,Decreasing,Regular,250.53634624584606
6410,2024-12-24,27,381,81.72,Yes,,Competitor Pricing,Stable,Budget,242.96074931208884
4740,2024-07-28,21,67,34.78,No,Holiday,Competitor Pricing,Stable,Budget,244.7359607555117
9964,2024-12-09,96,252,65.22,Yes,Festival,,Increasing,Premium,253.32741775078222
2288,2024-11-29,17,140,39.79,Yes,Festival,Economic Indicator,Increasing,Regular,248.12311588410444
5324,2024-05-18,47,71,66.76,No,,Weather,Decreasing,Budget,240.46757857643743
6592,2024-08-23,28,378,98.12,No,Holiday,Competitor Pricing,Stable,Regular,248.1574888657564
5840,2024-06-26,91,307,25.74,No,Holiday,Economic Indicator,Increasing,Budget,249.8974365365087
8498,2024-01-22,59,273,19.82,No,,Economic Indicator,Stable,Regular,250.43039414608765
2338,2024-07-31,90,230,46.38,Yes,,Competitor Pricing,Stable,Premium,252.45130627571424
8532,2024-09-01,72,2,93.36,No,Holiday,,Stable,Regular,252.40718011155633
9185,2024-03-01,51,333,79.44,No,Holiday,Weather,Increasing,Regular,250.88058540353236
5691,2024-05-10,62,352,50.95,No,Festival,Competitor Pricing,Decreasing,Regular,248.41284889004493
6335,2024-03-17,70,158,58.89,Yes,,,Decreasing,Premium,252.22548570594282
1355,2024-03-01,59,46,51.9,Yes,Festival,Economic Indicator,Stable,Budget,245.45768826641833
9700,2024-05-18,49,228,91.0,No,Festival,,Increasing,Budget,238.85443218161046
4783,2024-02-26,50,215,86.17,No,Festival,,Decreasing,Regular,245.16642404842773
8997,2024-05-31,23,437,25.26,No,,Competitor Pricing,Decreasing,Budget,242.18600781791565
6985,2024-08-27,78,455,7.55,Yes,Festival,Competitor Pricing,Decreasing,Regular,257.8112547038267
9816,2024-02-25,92,225,58.8,No,,Economic Indicator,Increasing,Regular,250.00630559968369
6739,2024-06-14,5,317,12.65,No,Holiday,Competitor Pricing,Increasing,Premium,248.5020792508531
3824,2024-04-27,7,305,18.38,No,Holiday,,Stable,Budget,244.3147153516484
5747,2024-04-06,98,234,6.04,No,Holiday,,Decreasing,Premium,257.2699522670055
9141,2024-02-02,29,84,37.49,Yes,Festival,,Increasing,Premium,249.60693735260975
9801,2024-03-23,21,369,11.71,No,Holiday,Economic Indicator,Decreasing,Regular,254.45358386877268
7579,2024-01-06,37,353,48.0,No,Festival,Competitor Pricing,Increasing,Regular,245.61724478749952
1282,2024-11-17,8,80,48.4,Yes,Festival,,Decreasing,Premium,246.4322804056019
2214,2024-05-06,36,444,16.43,Yes,Holiday,Competitor Pricing,Increasing,Premium,254.30600679845554
1675,2024-11-01,23,203,13.52,No,,Economic Indicator,Decreasing,Budget,240.45457933783229
6460,2024-02-13,16,29,5.09,Yes,Festival,,Stable,Premium,250.68661854049188
7144,2024-12-12,64,102,17.46,No,Holiday,,Decreasing,Premium,254.53488952853505
9868,2024-11-29,73,357,81.66,No,,Competitor Pricing,Stable,Regular,248.27796734829258
9222,2024-08-18,4,477,26.71,No,,Competitor Pricing,Decreasing,Premium,244.86557688181722
8158,2024-10-15,97,441,96.2,No,Holiday,Competitor Pricing,Decreasing,Regular,254.62026248803377
8688,2024-01-06,58,163,84.72,No,Holiday,,Stable,Regular,251.90668457267333
2230,2024-09-05,49,233,40.71,Yes,Holiday,Competitor Pricing,Increasing,Regular,255.68676328801408
9394,2024-10-29,85,240,26.78,No,Festival,Weather,Increasing,Regular,251.20841515192558
2100,2024-11-30,14,348,25.31,Yes,Holiday,Weather,Stable,Budget,249.22920449534345
2997,2024-11-07,4,343,12.33,No,,,Stable,Regular,244.72842986990096
4770,2024-12-03,12,253,45.64,No,,Competitor Pricing,Decreasing,Regular,244.6433005482804
6545,2024-04-25,21,352,66.21,No,Festival,Competitor Pricing,Stable,Regular,244.11745555181432
6112,2024-11-15,1,143,53.25,No,Holiday,,Increasing,Budget,241.5288874286147
8589,2024-12-08,16,467,31.85,Yes,Festival,,Increasing,Premium,248.7651793811894
8758,2024-07-25,26,119,5.43,No,,Economic Indicator,Increasing,Premium,245.96087628251507
1760,2024-11-19,72,92,80.32,No,Holiday,Weather,Stable,Regular,250.96583054129428
1320,2024-10-01,25,187,48.7,No,Holiday,Competitor Pricing,Increasing,Premium,246.06319067765236
6547,2024-05-08,65,259,55.78,Yes,Festival,,Stable,Budget,247.36159391251147
1105,2024-08-18,6,5,53.12,Yes,Festival,Economic Indicator,Decreasing,Premium,246.05672554434014
6040,2024-10-27,3,477,51.77,Yes,Holiday,Competitor Pricing,Increasing,Regular,252.89964377923224
5036,2024-04-17,30,336,54.11,No,Festival,,Increasing,Budget,237.95116580346127
3434,2024-01-09,30,483,80.07,Yes,Festival,Competitor Pricing,Stable,Budget,242.25857568647595
6711,2024-04-30,30,191,87.12,No,Holiday,,Stable,Regular,248.98342981817947
4183,2024-03-26,41,314,61.91,Yes,,,Decreasing,Premium,249.13111975620862
2355,2024-03-10,70,371,37.69,No,,,Increasing,Premium,245.09892828772664
8505,2024-06-24,97,92,50.79,No,Holiday,,Decreasing,Premium,255.56083976240217
4416,2024-07-20,11,452,22.44,No,Festival,Competitor Pricing,Increasing,Regular,244.04990208152935
1610,2024-04-17,21,115,71.72,Yes,,,Increasing,Budget,240.3274293821666
3220,2024-10-09,33,395,21.04,Yes,Festival,Economic Indicator,Decreasing,Premium,250.66466554331393
3598,2024-06-20,92,2,64.99,Yes,Holiday,Economic Indicator,Decreasing,Regular,259.8322257523213
6585,2024-02-03,58,61,53.47,No,,,Increasing,Regular,246.53890318787924
2063,2024-06-01,26,65,9.51,Yes,Holiday,Weather,Increasing,Budget,249.92106471725216
8166,2024-07-21,39,154,99.9,No,Holiday,Weather,Stable,Regular,249.55688209480948
8869,2024-11-09,43,375,99.77,Yes,,Competitor Pricing,Stable,Premium,248.08198232018594
3837,2024-02-06,22,314,53.24,Yes,Festival,,Increasing,Budget,242.23433280139923
6295,2024-01-15,46,232,12.37,Yes,Holiday,,Decreasing,Regular,260.2286752378327
6975,2024-01-15,72,399,99.71,No,Festival,,Decreasing,Regular,246.79277372630872
6352,2024-11-23,10,47,47.51,No,Holiday,Economic Indicator,Decreasing,Budget,244.4623253011546
6054,2024-06-27,49,103,47.81,Yes,Festival,Weather,Increasing,Budget,245.4737263395011
6039,2024-04-28,77,433,60.32,No,,Competitor Pricing,Stable,Regular,248.49382861692033
5877,2024-02-01,49,59,28.75,Yes,,Economic Indicator,Increasing,Regular,252.39970674028473
2226,2024-05-01,14,314,61.84,Yes,Holiday,Economic Indicator,Stable,Regular,253.0519755181203
3547,2024-04-12,30,24,11.63,No,Festival,Weather,Stable,Regular,247.04673699866242
5706,2024-01-27,18,284,17.78,Yes,Holiday,Economic Indicator,Stable,Regular,257.0910117778215
9139,2024-12-07,55,123,74.17,No,Holiday,Competitor Pricing,Stable,Premium,250.64614231880907
6000,2024-05-29,84,17,45.58,No,Holiday,Economic Indicator,Stable,Budget,249.3906946582201
3922,2024-01-19,78,116,19.76,Yes,Festival,Competitor Pricing,Increasing,Regular,254.31884488487054
2497,2024-12-18,93,260,28.44,No,,Weather,Stable,Regular,250.45271556741196
3166,2024-11-03,43,169,83.87,Yes,Holiday,,Increasing,Budget,247.1540377958977
4980,2024-04-23,50,190,27.8,Yes,Festival,Competitor Pricing,Increasing,Regular,252.11339457768366
1349,2024-07-02,36,93,47.31,Yes,,,Increasing,Budget,242.77389593673158
5085,2024-06-11,92,456,14.66,Yes,Holiday,Weather,Decreasing,Premium,261.47454332901236
4467,2024-08-04,14,389,39.67,Yes,Holiday,Competitor Pricing,Decreasing,Regular,255.61924082825954
8369,2024-11-06,90,364,53.85,No,Festival,Weather,Decreasing,Regular,251.40527440589756
3534,2024-12-28,72,399,66.83,No,,Competitor Pricing,Decreasing,Budget,241.59392930523347
8035,2024-10-08,24,230,5.4,No,Holiday,Weather,Decreasing,Budget,248.5490660655854
3698,2024-02-05,31,454,75.56,Yes,Festival,,Increasing,Premium,245.68988798901944
9641,2024-10-13,11,35,61.07,Yes,Festival,Weather,Increasing,Premium,247.19895936074695
4986,2024-11-20,22,255,69.69,No,Holiday,Weather,Stable,Premium,247.12996475706365
6598,2024-03-08,97,388,78.17,Yes,,Economic Indicator,Stable,Regular,254.5144070366031
2001,2024-02-18,92,391,14.12,No,Holiday,Weather,Decreasing,Regular,256.99775039091963
5810,2024-03-05,78,321,11.33,Yes,,Economic Indicator,Increasing,Regular,255.5621730869886
6898,2024-07-09,5,177,22.81,Yes,,Economic Indicator,Stable,Premium,249.09571730276926
1395,2024-12-11,9,342,23.41,No,Holiday,Competitor Pricing,Decreasing,Regular,249.8789272453555
3386,2024-06-29,39,38,5.3,Yes,,,Increasing,Budget,246.12346793063472
1912,2024-07-09,97,147,89.24,Yes,Festival,,Decreasing,Premium,250.98412933693965
4630,2024-06-11,96,142,83.42,Yes,,Weather,Stable,Budget,247.57273495178816
7059,2024-08-20,5,481,50.91,Yes,Holiday,Economic Indicator,Stable,Budget,248.754010317746
4834,2024-05-25,40,333,79.6,Yes,Festival,,Decreasing,Regular,250.0577480959489
7099,2024-12-05,19,444,91.55,No,,,Decreasing,Budget,237.4081515069074
1879,2024-08-27,19,135,34.24,No,,Competitor Pricing,Decreasing,Budget,238.9204897657194
3015,2024-03-07,90,174,48.86,No,Holiday,Economic Indicator,Stable,Regular,254.53968776402087
7383,2024-03-24,2,382,6.57,No,,Economic Indicator,Increasing,Regular,245.41669389491958
3462,2024-01-24,27,93,72.78,Yes,,Competitor Pricing,Stable,Budget,242.46324825107376
8413,2024-11-24,17,165,23.76,No,Holiday,Weather,Decreasing,Premium,251.20781715804526
2296,2024-04-16,14,87,53.68,Yes,Holiday,Economic Indicator,Decreasing,Regular,254.17266434967686
6947,2024-12-27,78,480,21.1,No,Festival,Economic Indicator,Increasing,Premium,248.34399645980116
1835,2024-03-19,78,346,7.77,Yes,Holiday,Economic Indicator,Increasing,Regular,259.7399266271622
5021,2024-07-12,16,375,44.82,Yes,Festival,Economic Indicator,Increasing,Budget,242.7839783517352
7323,2024-06-03,67,348,24.62,No,Holiday,,Decreasing,Premium,254.4088691808368
