Product ID,Store ID,Stock Levels,Supplier Lead Time (days),Stockout Frequency,Reorder Point,Expiry Date,Warehouse Capacity,Order Fulfillment Time (days),Warehouse Utilization,Inventory Alert,Safety Stock,Recommended Reorder Point
9286,16,700,10,14,132,2024-01-15,1052,6,0.6653992395437263,0,73.04861394988956,205.04861394988956
2605,60,82,11,1,127,2024-12-16,1262,9,0.06497622820919176,1,5.472430904086409,132.47243090408642
2859,55,145,25,14,192,2024-04-30,1457,12,0.09951956074124914,1,115.49999999999999,307.5
2374,24,151,17,6,19,2024-12-16,2944,3,0.051290760869565216,0,40.81874569361484,59.81874569361484
7678,5,714,12,2,21,2024-08-05,3739,7,0.19096014977266648,0,11.431535329954588,32.431535329954585
8620,53,11,25,9,193,2024-05-01,3988,11,0.0027582748244734203,1,74.25,267.25
7599,22,960,3,6,185,2024-08-10,4383,13,0.2190280629705681,0,17.14730299493188,202.1473029949319
7327,19,111,14,13,25,2024-05-28,1373,3,0.0808448652585579,0,80.25855094630104,105.25855094630104
1002,28,569,10,4,141,2024-11-29,4949,13,0.11497272176197211,0,20.871032557111302,161.8710325571113
8343,38,462,9,19,193,2024-06-02,2429,8,0.19020172910662825,0,94.05,287.05
8078,68,271,11,6,173,2024-09-19,1854,4,0.14617044228694714,0,32.83458542451845,205.83458542451845
2105,21,87,25,5,196,2024-04-12,4019,8,0.02164717591440657,1,41.25,237.25
5907,2,410,3,13,88,2024-10-01,4350,2,0.09425287356321839,0,37.152489822352415,125.15248982235241
2319,27,301,10,19,92,2024-10-03,1737,10,0.1732872769142199,0,99.1374046462787,191.1374046462787
4733,41,611,10,0,190,2024-02-19,3714,4,0.1645126548196015,0,0.0,190.0
4093,61,167,4,6,114,2024-11-20,4808,5,0.03473377703826955,0,19.799999999999997,133.8
4493,8,732,8,13,179,2024-10-28,4095,14,0.17875457875457876,0,60.66976182580578,239.66976182580578
8402,93,152,20,8,189,2024-04-14,3030,4,0.050165016501650166,1,59.03219460599445,248.03219460599445
6046,97,317,4,18,156,2024-06-25,1338,2,0.23692077727952168,0,59.4,215.4
9090,37,964,10,11,90,2024-06-08,2564,6,0.37597503900156004,0,57.395339532056084,147.39533953205608
3164,47,620,11,10,136,2024-06-24,4761,14,0.1302247427011132,0,54.7243090408641,190.7243090408641
6816,88,947,17,5,63,2024-01-30,4537,1,0.20872823451620012,0,34.0156214113457,97.0156214113457
3099,91,462,28,18,195,2024-03-28,2813,1,0.16423746889441876,0,157.15762787723668,352.1576278772367
5425,9,253,1,19,59,2024-01-17,3209,2,0.07884076036148333,0,31.349999999999998,90.35
7648,77,482,25,16,152,2024-04-11,4961,7,0.09715783108244305,0,132.0,284.0
6841,69,789,6,1,105,2024-05-11,2024,1,0.3898221343873518,0,4.0416580755922435,109.04165807559224
9337,79,38,7,16,172,2024-07-19,4313,12,0.00881057268722467,1,69.84783461210519,241.8478346121052
1369,33,217,1,19,32,2024-02-14,1005,11,0.21592039800995025,0,31.349999999999998,63.349999999999994
1240,88,127,11,0,154,2024-06-10,3355,1,0.03785394932935916,1,0.0,154.0
4415,1,50,23,3,117,2024-04-29,4664,5,0.01072041166380789,1,23.739366040397957,140.73936604039795
2852,8,82,10,5,154,2024-06-06,1158,5,0.07081174438687392,1,26.088790696389133,180.08879069638914
9439,33,66,12,10,151,2024-07-03,1463,5,0.045112781954887216,1,57.157676649772945,208.15767664977295
5332,69,441,28,10,11,2024-06-10,1831,6,0.24085199344620425,0,87.30979326513149,98.30979326513149
8800,28,204,7,7,128,2024-03-27,3063,5,0.06660137120470128,0,30.55842764279602,158.558427642796
5128,50,484,23,3,183,2024-09-30,4075,4,0.11877300613496933,0,23.739366040397957,206.73936604039795
9258,75,446,8,9,65,2024-07-02,1898,9,0.23498419388830347,0,42.002142802480925,107.00214280248093
8519,67,725,8,7,126,2024-06-23,2617,8,0.277034772640428,0,32.668333290818495,158.6683332908185
2750,58,846,5,19,170,2024-05-09,2392,6,0.3536789297658863,0,70.10073109461841,240.10073109461842
3169,22,797,4,18,73,2024-06-05,1154,2,0.6906412478336221,0,59.4,132.4
1012,56,870,22,15,98,2024-07-28,2922,12,0.29774127310061604,0,116.08779005562988,214.08779005562988
6063,14,131,24,6,113,2024-11-05,3486,12,0.037578886976477335,0,48.499896907106915,161.49989690710692
8037,29,531,24,14,53,2024-07-05,2817,14,0.18849840255591055,0,113.16642611658281,166.1664261165828
9443,43,934,5,5,102,2024-07-09,1586,7,0.5889029003783102,0,18.447560814373265,120.44756081437326
6954,63,738,2,5,188,2024-09-24,2572,10,0.2869362363919129,0,11.667261889578034,199.66726188957804
6227,76,639,20,14,192,2024-11-25,3264,11,0.1957720588235294,0,103.30634056049028,295.3063405604903
6727,93,570,21,16,73,2024-12-05,2095,1,0.2720763723150358,0,120.97999834683417,193.97999834683418
2615,94,538,5,2,25,2024-01-09,3756,2,0.14323748668796593,0,7.379024325749306,32.379024325749306
4990,73,515,28,18,154,2024-12-23,4972,9,0.10358004827031375,0,157.15762787723668,311.1576278772367
2321,2,302,26,3,97,2024-03-02,3240,8,0.09320987654320988,0,25.24014659228428,122.24014659228428
9005,42,669,27,11,82,2024-06-30,2264,10,0.2954946996466431,0,94.31016647212536,176.31016647212536
5367,8,383,26,13,149,2024-04-03,1051,5,0.3644148430066603,0,109.37396856656522,258.3739685665652
1356,78,643,16,3,141,2024-03-12,2109,4,0.30488383119962065,0,19.799999999999997,160.8
7667,66,515,20,9,143,2024-11-21,4655,7,0.11063372717508056,0,66.41121893174376,209.41121893174375
2327,16,61,1,6,136,2024-11-02,1826,7,0.033406352683461114,1,9.899999999999999,145.9
3156,7,146,20,9,122,2024-09-11,3060,7,0.04771241830065359,0,66.41121893174376,188.41121893174375
5873,45,247,22,0,155,2024-02-23,1473,13,0.16768499660556688,0,0.0,155.0
5761,1,621,3,18,39,2024-11-13,4875,3,0.12738461538461537,0,51.44190898479565,90.44190898479565
7874,78,499,26,1,104,2024-11-05,2992,3,0.16677807486631016,0,8.413382197428094,112.41338219742809
1294,31,949,13,4,198,2024-11-08,2465,13,0.3849898580121704,0,23.796638418062326,221.79663841806232
7491,36,942,14,19,39,2024-12-06,3020,14,0.3119205298013245,0,117.30095907536305,156.30095907536304
4547,20,559,22,16,144,2024-03-24,4953,5,0.11286089238845144,0,123.82697605933853,267.82697605933856
1376,35,694,25,8,193,2024-11-07,4430,5,0.15665914221218963,0,66.0,259.0
9936,3,614,14,6,14,2024-03-06,2652,11,0.23152337858220212,0,37.04240812906201,51.04240812906201
6489,16,908,12,5,124,2024-04-20,4919,3,0.18459036389510064,0,28.578838324886473,152.57883832488648
8813,43,639,16,0,76,2024-11-01,1130,1,0.5654867256637168,0,0.0,76.0
1085,20,536,1,12,160,2024-03-11,3468,13,0.15455594002306805,0,19.799999999999997,179.8
7236,3,369,23,9,135,2024-03-04,1410,3,0.26170212765957446,0,71.21809812119388,206.21809812119386
8520,62,843,12,15,75,2024-09-04,3447,5,0.24456048738033073,0,85.73651497465941,160.73651497465943
8654,54,844,17,2,175,2024-11-13,2329,4,0.36238729068269643,0,13.60624856453828,188.60624856453828
2211,63,709,17,18,15,2024-06-10,4602,7,0.15406345067362018,0,122.45623708084452,137.45623708084452
1212,67,454,26,1,87,2024-06-26,1929,12,0.23535510627268014,0,8.413382197428094,95.41338219742809
4083,65,896,23,2,166,2024-09-15,3169,4,0.2827390343957084,0,15.826244026931972,181.82624402693196
6630,48,663,4,9,176,2024-05-11,4572,10,0.14501312335958005,0,29.7,205.7
2954,67,941,5,11,80,2024-03-31,3029,12,0.3106635853416969,0,40.58463379162118,120.58463379162117
3151,65,127,25,7,75,2024-10-07,4003,3,0.03172620534599051,0,57.74999999999999,132.75
6675,55,432,20,15,84,2024-10-24,4866,14,0.08877928483353884,0,110.6853648862396,194.6853648862396
5119,53,171,6,13,18,2024-02-11,4894,12,0.034940743767879034,0,52.54155498269916,70.54155498269915
6302,71,563,22,12,125,2024-10-29,1128,12,0.499113475177305,0,92.8702320445039,217.8702320445039
2928,46,660,25,8,22,2024-07-23,3929,11,0.16798167472639347,0,66.0,88.0
9342,73,781,23,17,47,2024-07-21,2590,13,0.30154440154440154,0,134.52307422892176,181.52307422892176
2242,42,408,6,15,23,2024-10-12,4068,13,0.10029498525073746,0,60.62487113388365,83.62487113388366
4208,85,279,3,2,106,2024-08-22,3633,6,0.07679603633360858,0,5.715767664977294,111.71576766497729
4366,55,213,24,3,177,2024-10-25,4481,13,0.04753403258201294,0,24.249948453553458,201.24994845355346
1056,34,507,10,2,146,2024-12-21,1045,6,0.4851674641148325,0,10.435516278555651,156.43551627855564
7540,47,273,21,3,76,2024-01-16,2844,3,0.09599156118143459,0,22.683749690031405,98.6837496900314
3444,62,548,12,4,125,2024-08-30,4198,7,0.13053835159599808,0,22.863070659909177,147.86307065990917
1556,45,121,3,5,128,2024-09-06,1022,9,0.11839530332681017,1,14.289419162443236,142.28941916244324
3216,87,705,27,9,198,2024-07-12,3038,14,0.23206056616194864,0,77.16286347719348,275.16286347719347
